the	{"determiner": ["cái", "con", "những"]}
short-period	{"adjective": ["ngắn hạn", "chu kỳ ngắn"]}
possessively	{"adverb": ["một cách chiếm hữu", "một cách độc chiếm"]}
eyehole	{"noun": ["lỗ mắt"]}
mid-80	{"adjective": ["giữa những năm 80"]}
appreciator	{"noun": ["người đánh giá cao", "người yêu thích"]}
homologue	{"noun": ["chất tương đồng", "cơ quan tương đồng"]}
biodynamic	{"adjective": ["sinh học động lực"]}
piker	{"noun": ["kẻ keo kiệt", "người chơi cờ bạc nhỏ"]}
all-ages	{"adjective": ["dành cho mọi lứa tuổi"]}
staphylococci	{"noun": ["tụ cầu khuẩn"]}
non-gaap	{"adjective": ["không theo GAAP (nguyên tắc kế toán chung được chấp nhận)"]}
matzoh	{"noun": ["bánh matzoh (bánh mì không men của người Do Thái)"]}
haversack	{"noun": ["ba lô", "túi đeo vai"]}
fantasized	{"verb": ["mơ mộng", "tưởng tượng"], "adjective": ["được mơ mộng", "được tưởng tượng"]}
warm-season	{"noun": ["mùa ấm"], "adjective": ["mùa ấm"]}
berserker	{"noun": ["người cuồng chiến", "kẻ điên cuồng"]}
degree-granting	{"adjective": ["cấp bằng", "trao bằng"]}
waterspout	{"noun": ["vòi rồng", "lốc xoáy nước"]}
unshed	{"adjective": ["chưa rơi", "chưa đổ (nước mắt)"]}
indie-rock	{"noun": ["nhạc indie rock"]}
transdisciplinary	{"adjective": ["liên ngành", "xuyên ngành"]}
tracksuit	{"noun": ["bộ đồ thể thao"]}
arborvitae	{"noun": ["cây trắc bách diệp"]}
white-capped	{"adjective": ["có chóp trắng", "có bọt trắng (sóng)"]}
junk-food	{"noun": ["đồ ăn vặt", "đồ ăn nhanh"]}
grappa	{"noun": ["rượu grappa"]}
two-sport	{"adjective": ["hai môn thể thao"]}
masterstroke	{"noun": ["đòn quyết định", "nước cờ cao tay"]}
predestined	{"adjective": ["định trước", "tiền định"]}
serape	{"noun": ["khăn choàng serape"]}
toothsome	{"adjective": ["ngon miệng", "hấp dẫn"]}
embalmed	{"verb": ["ướp xác"], "adjective": ["được ướp xác"]}
aptness	{"noun": ["sự thích hợp", "sự đúng đắn", "sự khéo léo"]}
seven-month-old	{"noun": ["đứa bé bảy tháng tuổi"], "adjective": ["bảy tháng tuổi"]}
mooch	{"verb": ["ăn bám", "xin xỏ", "lảng vảng"]}
irresolute	{"adjective": ["do dự", "thiếu quyết đoán"]}
bikini-clad	{"adjective": ["mặc bikini"]}
smelling	{"verb": ["ngửi", "có mùi"], "adjective": ["có mùi"]}
cut-and-dried	{"adjective": ["rõ ràng", "dứt khoát", "đã được quyết định"]}
quasi-public	{"adjective": ["bán công", "gần như công cộng"]}
implicated	{"verb": ["liên quan", "dính líu"], "adjective": ["bị liên quan", "bị dính líu"]}
phone-in	{"noun": ["chương trình điện thoại trực tiếp"], "adjective": ["qua điện thoại"]}
stonefly	{"noun": ["côn trùng phù du"]}
mammon	{"noun": ["tiền bạc", "của cải", "sự tham lam tiền bạc"]}
kokanee	{"noun": ["cá hồi kokanee"]}
accentuation	{"noun": ["sự nhấn mạnh", "sự làm nổi bật"]}
unfrozen	{"adjective": ["không đông", "chưa đông"]}
gut-level	{"adjective": ["bản năng", "theo cảm tính"]}
fierce-looking	{"adjective": ["trông dữ tợn", "trông hung dữ"]}
higher-risk	{"adjective": ["rủi ro cao hơn"]}
explainer	{"noun": ["người giải thích"]}
unstrap	{"verb": ["tháo dây", "cởi dây"]}
post-op	{"adjective": ["hậu phẫu", "sau phẫu thuật"]}
patrimonial	{"adjective": ["gia truyền", "thừa kế", "thuộc về gia sản"]}
ticketed	{"verb": ["bị phạt", "được gắn vé"], "adjective": ["bị phạt", "được gắn vé"]}
otherworld	{"noun": ["thế giới khác", "cõi âm"]}
conceptualism	{"noun": ["chủ nghĩa duy tâm", "chủ nghĩa khái niệm"]}
nonlinguistic	{"adjective": ["phi ngôn ngữ"]}
kung-fu	{"noun": ["kung fu", "võ thuật"]}
high-explosive	{"adjective": ["có sức nổ lớn", "chất nổ mạnh"], "noun": ["chất nổ mạnh"]}
resource-poor	{"adjective": ["nghèo tài nguyên"]}
million-selling	{"adjective": ["bán được hàng triệu bản"]}
nincompoop	{"noun": ["người ngốc nghếch", "kẻ đần độn"]}
centerfield	{"noun": ["vị trí trung tâm (trong bóng chày)"]}
low-carbon	{"adjective": ["ít carbon"]}
riprap	{"noun": ["đá lát bờ", "đá kè"] }
similitude	{"noun": ["sự tương tự", "sự giống nhau"]}
overreaching	{"adjective": ["quá đáng", "vượt quá giới hạn"], "verb": ["vượt quá giới hạn"]}
exaction	{"noun": ["sự đòi hỏi", "sự cưỡng đoạt"]}
outrageousness	{"noun": ["sự quá đáng", "sự tàn bạo", "sự xúc phạm"]}
bumbler	{"noun": ["người vụng về", "người hay mắc lỗi"]}
non-sport	{"adjective": ["phi thể thao"]}
long-cherished	{"adjective": ["ấp ủ từ lâu", "được yêu mến từ lâu"]}
blacklisted	{"verb": ["bị đưa vào danh sách đen"], "adjective": ["bị đưa vào danh sách đen"]}
damage-control	{"noun": ["kiểm soát thiệt hại", "khắc phục hậu quả"]}
embezzler	{"noun": ["kẻ tham ô", "người biển thủ"]}
unfired	{"adjective": ["chưa bắn", "chưa nung"]}
strip-mall	{"noun": ["trung tâm mua sắm nhỏ", "dãy cửa hàng"]}
normal-sized	{"adjective": ["kích thước bình thường"]}
stock-in-trade	{"noun": ["vốn liếng", "hàng hóa", "nghề nghiệp"]}
spanking-new	{"adjective": ["mới toanh", "mới tinh"]}
nine-page	{"adjective": ["chín trang"]}
well-coordinated	{"adjective": ["phối hợp tốt", "ăn ý"]}
scabies	{"noun": ["bệnh ghẻ"]}
reoccurrence	{"noun": ["sự tái phát", "sự lặp lại"]}
extrinsically	{"adverb": ["bên ngoài", "không thuộc bản chất"]}
lead-free	{"adjective": ["không chì"]}
misbehaving	{"verb": ["cư xử không đúng mực", "quậy phá"], "adjective": ["cư xử không đúng mực", "quậy phá"]}
turpitude	{"noun": ["sự đồi bại", "sự đê tiện"]}
nymphomaniac	{"noun": ["người cuồng dâm nữ"]}
subtotal	{"noun": ["tổng phụ", "tổng cộng"], "verb": ["tính tổng phụ"]}
nought	{"noun": ["số không", "con số không"]}
hundred-year	{"adjective": ["trăm năm"]}
hours-long	{"adjective": ["kéo dài hàng giờ"]}
y-shaped	{"adjective": ["hình chữ Y"]}
pink-and-white	{"adjective": ["hồng và trắng"]}
take-it-or-leave-it	{"adjective": ["không thương lượng", "chấp nhận hoặc không"]}
exotically	{"adverb": ["một cách kỳ lạ", "một cách khác thường"]}
quote-unquote	{"adverb": ["gọi là", "cái gọi là"]}
quaintness	{"noun": ["vẻ cổ kính", "vẻ kỳ lạ", "vẻ duyên dáng"]}
undreamed	{"adjective": ["không thể tưởng tượng", "chưa từng mơ tới"]}
undramatic	{"adjective": ["không kịch tính", "bình thường"]}
swiveling	{"verb": ["xoay", "quay"], "adjective": ["đang xoay", "đang quay"]}
greeting-card	{"noun": ["thiệp chúc mừng"]}
midnight-blue	{"adjective": ["xanh nước biển đậm"]}
whump	{"noun": ["tiếng bịch", "tiếng thình thịch"]}
readerly	{"adjective": ["dễ đọc", "dành cho người đọc"]}
circumscription	{"noun": ["sự giới hạn", "sự khoanh vùng"]}
deer-hunting	{"noun": ["săn hươu"], "adjective": ["săn hươu"]}
high-tax	{"adjective": ["thuế cao"]}
coreopsis	{"noun": ["cây cúc cánh vàng"]}
stymied	{"verb": ["cản trở", "làm thất bại"], "adjective": ["bị cản trở", "bị thất bại"]}
home-shopping	{"noun": ["mua sắm tại nhà"]}
cartouche	{"noun": ["hình bầu dục", "khung hình"]}
tolling	{"verb": ["rung chuông", "đánh chuông"], "noun": ["tiếng chuông", "sự rung chuông"]}
missionization	{"noun": ["sự truyền giáo"]}
two-in-one	{"adjective": ["hai trong một"]}
credentialing	{"noun": ["cấp chứng chỉ", "xác nhận trình độ"]}
two-speed	{"adjective": ["hai tốc độ"]}
shamed	{"verb": ["làm xấu hổ", "bị xấu hổ"], "adjective": ["bị xấu hổ"]}
dazedly	{"adverb": ["một cách choáng váng", "một cách ngơ ngác"]}
calamine	{"noun": ["calamine (kẽm cacbonat)"]}
discourtesy	{"noun": ["sự bất lịch sự", "sự khiếm nhã"]}
specular	{"adjective": ["phản chiếu", "như gương"]}
horticulturalist	{"noun": ["nhà làm vườn", "người trồng trọt"]}
weird-looking	{"adjective": ["trông kỳ dị", "trông lạ lùng"]}
florescent	{"adjective": ["phát quang", "huỳnh quang"]}
re-emerging	{"verb": ["tái xuất hiện", "nổi lên trở lại"], "adjective": ["tái xuất hiện", "nổi lên trở lại"]}
microprocessor-based	{"adjective": ["dựa trên vi xử lý"]}
dunking	{"verb": ["nhúng", "dìm"], "noun": ["sự nhúng", "sự dìm"]}
post-harvest	{"adjective": ["sau thu hoạch"]}
vine-covered	{"adjective": ["phủ đầy dây leo"]}
happily-ever-after	{"adverb": ["mãi mãi về sau", "hạnh phúc mãi mãi"]}
ungenerous	{"adjective": ["keo kiệt", "ích kỷ"]}
well-conceived	{"adjective": ["được lên kế hoạch tốt", "được hình thành tốt"]}
decipherable	{"adjective": ["có thể giải mã", "có thể đọc được"]}
thenceforth	{"adverb": ["từ đó trở đi", "từ lúc đó"]}
harnessing	{"verb": ["khai thác", "tận dụng", "kiểm soát"], "noun": ["sự khai thác", "sự tận dụng"]}
dosed	{"verb": ["cho uống thuốc", "định liều"], "adjective": ["đã được cho uống thuốc", "đã được định liều"]}
uric	{"adjective": ["thuộc về axit uric"]}
titer	{"noun": ["độ chuẩn", "nồng độ"]}
letterpress	{"noun": ["in nổi", "máy in nổi"]}
bagman	{"noun": ["người thu tiền bất hợp pháp", "người đưa hối lộ"]}
limbless	{"adjective": ["không có chân tay", "tàn tật"]}
endorsed	{"verb": ["xác nhận", "chứng thực", "tán thành"], "adjective": ["được xác nhận", "được chứng thực", "được tán thành"]}
electroencephalogram	{"noun": ["điện não đồ"]}
exigent	{"adjective": ["khẩn cấp", "cấp bách"]}
liquid-crystal	{"adjective": ["tinh thể lỏng"]}
rhymed	{"verb": ["vần", "có vần"], "adjective": ["có vần"]}
plummy	{"adjective": ["ngọt ngào", "mềm mại", "giàu có"]}
polymorphic	{"adjective": ["đa hình", "đa dạng"]}
chlordane	{"noun": ["chlordane (thuốc trừ sâu)"]}
floodwall	{"noun": ["tường chắn lũ"]}
injury-free	{"adjective": ["không bị thương", "không có chấn thương"]}
rabbinate	{"noun": ["chức vụ giáo sĩ Do Thái", "giới giáo sĩ Do Thái"]}
medullary	{"adjective": ["thuộc tủy"]}
auricular	{"adjective": ["thuộc tai", "thuộc tâm nhĩ"]}
grandiloquent	{"adjective": ["hoa mỹ", "khoa trương"]}
boudin	{"noun": ["boudin (xúc xích Pháp)"]}
pillaging	{"noun": ["sự cướp bóc", "hành động cướp phá"], "verb": ["cướp bóc", "cướp phá"]}
chinese-style	{"adjective": ["kiểu Trung Quốc"]}
meagre	{"adjective": ["ít ỏi", "còm cõi", "gầy gò"]}
coarsening	{"noun": ["sự thô ráp", "sự làm thô", "sự trở nên thô"], "verb": ["làm thô", "trở nên thô"]}
old-money	{"noun": ["giới thượng lưu lâu đời", "tiền của gia đình giàu có lâu đời"], "adjective": ["thuộc về gia đình giàu có lâu đời"]}
raga	{"noun": ["điệu raga (trong âm nhạc Ấn Độ)"]}
him-or	{"pronoun": ["anh ấy hoặc"]}
flag-burning	{"noun": ["hành động đốt cờ"], "adjective": ["đốt cờ"]}
polycystic	{"adjective": ["đa nang"]}
churchy	{"adjective": ["thuộc về nhà thờ", "đạo đức giả"]}
unobjectionable	{"adjective": ["không có gì đáng phản đối", "chấp nhận được"]}
ineptly	{"adverb": ["một cách vụng về", "một cách không khéo"]}
importune	{"verb": ["nài nỉ", "van xin", "quấy rầy"]}
blameworthy	{"adjective": ["đáng trách", "đáng khiển trách"]}
negritude	{"noun": ["tinh thần da đen", "văn hóa da đen"]}
two-channel	{"adjective": ["hai kênh"]}
pectoralis	{"noun": ["cơ ngực"]}
dark-matter	{"noun": ["vật chất tối"]}
popularized	{"verb": ["được phổ biến", "làm cho phổ biến"]}
wineskin	{"noun": ["bình da đựng rượu"]}
bushwhacker	{"noun": ["kẻ phục kích", "người khai hoang"]}
fasciitis	{"noun": ["viêm cân"]}
shoulder-to-shoulder	{"adverb": ["vai kề vai", "sát cánh"], "adjective": ["vai kề vai", "sát cánh"]}
half-dressed	{"adjective": ["mặc nửa vời", "mặc hở hang"]}
hand-operated	{"adjective": ["vận hành bằng tay"]}
blood-spattered	{"adjective": ["dính đầy máu", "bị máu bắn tung tóe"]}
ousting	{"noun": ["sự trục xuất", "sự đuổi khỏi"], "verb": ["trục xuất", "đuổi khỏi"]}
buff-colored	{"adjective": ["màu da bò"]}
mitosis	{"noun": ["sự phân bào"]}
primula	{"noun": ["cây anh thảo"]}
clogging	{"noun": ["sự tắc nghẽn", "sự làm tắc"], "verb": ["làm tắc nghẽn", "bị tắc nghẽn"]}
male-to-female	{"adjective": ["từ nam sang nữ"]}
dogfish	{"noun": ["cá nhám"]}
merchandiser	{"noun": ["người bán hàng", "nhà kinh doanh"]}
thirty-one-year-old	{"noun": ["người 31 tuổi"], "adjective": ["31 tuổi"]}
jackboot	{"noun": ["ủng da cao cổ", "sự đàn áp tàn bạo"]}
general-interest	{"adjective": ["được nhiều người quan tâm", "phổ biến"]}
thirty-four-year-old	{"noun": ["người 34 tuổi"], "adjective": ["34 tuổi"]}
shibboleth	{"noun": ["mật khẩu", "từ ngữ đặc trưng", "tục ngữ"]}
untempered	{"adjective": ["không được tôi luyện", "không được kiểm soát", "quá khích"]}
finger-like	{"adjective": ["giống ngón tay"]}
dimer	{"noun": ["đime (hóa học)"]}
transgene	{"noun": ["gen chuyển"]}
ethnic-based	{"adjective": ["dựa trên sắc tộc"]}
one-volume	{"adjective": ["một tập"]}
hatched	{"verb": ["nở", "ấp", "vạch ra"]}
categorized	{"verb": ["được phân loại", "được sắp xếp"]}
grayling	{"noun": ["cá hồi xám"]}
f-ing	{"adjective": ["chết tiệt", "khốn kiếp"]}
suchlike	{"adjective": ["tương tự", "kiểu như vậy"], "noun": ["những thứ tương tự"]}
chemotherapeutic	{"adjective": ["hóa trị liệu"]}
nanogram	{"noun": ["nanogram"]}
man-sized	{"adjective": ["cỡ người lớn", "to lớn"]}
unamused	{"adjective": ["không vui", "không thích thú"]}
child-development	{"noun": ["sự phát triển của trẻ em"]}
altruist	{"noun": ["người vị tha"]}
unselfishly	{"adverb": ["một cách vị tha", "không ích kỷ"]}
jet-setting	{"adjective": ["thường xuyên đi du lịch bằng máy bay", "ăn chơi"]}
air-bag	{"noun": ["túi khí"]}
snickering	{"noun": ["tiếng cười khúc khích", "sự cười khẩy"], "verb": ["cười khúc khích", "cười khẩy"]}
beaked	{"adjective": ["có mỏ", "hình mỏ"]}
convenience-store	{"noun": ["cửa hàng tiện lợi"]}
music-making	{"noun": ["sự làm nhạc", "sự chơi nhạc"]}
stupa	{"noun": ["tháp (Phật giáo)"]}
imbecilic	{"adjective": ["ngu ngốc", "đần độn"]}
riveted	{"adjective": ["đinh tán", "mê mẩn", "chú ý"]}
hand-washing	{"noun": ["sự rửa tay"]}
respecter	{"noun": ["người tôn trọng", "người kính trọng"]}
picture-book	{"noun": ["sách tranh"]}
recolonize	{"verb": ["tái chiếm thuộc địa"]}
undeserving	{"adjective": ["không xứng đáng"]}
four-footed	{"adjective": ["bốn chân"]}
reinvented	{"verb": ["tái tạo", "tái phát minh"]}
shiv	{"noun": ["dao găm", "mảnh vỡ sắc nhọn"]}
terrapin	{"noun": ["rùa cạn"]}
matrilineage	{"noun": ["dòng dõi mẫu hệ"]}
high-carb	{"adjective": ["giàu carbohydrate"]}
post-and-beam	{"adjective": ["cột và dầm"]}
superspeedway	{"noun": ["đường đua siêu tốc"]}
dilator	{"noun": ["chất làm giãn", "dụng cụ làm giãn"]}
health-promoting	{"adjective": ["tăng cường sức khỏe"]}
flub	{"noun": ["lỗi lầm", "sự thất bại"], "verb": ["mắc lỗi", "làm hỏng"]}
pinscher	{"noun": ["chó pinscher"]}
slipperiness	{"noun": ["sự trơn trượt", "tính trơn trượt"]}
asian-inspired	{"adjective": ["lấy cảm hứng từ châu Á"]}
t-value	{"noun": ["giá trị t"]}
woodcarving	{"noun": ["nghệ thuật chạm khắc gỗ", "đồ chạm khắc gỗ"]}
tricked-out	{"adjective": ["được trang bị đầy đủ", "được độ lại"]}
heliport	{"noun": ["sân bay trực thăng"]}
sino-japanese	{"adjective": ["Trung-Nhật"]}
schismatic	{"adjective": ["ly khai", "chia rẽ"], "noun": ["người ly khai"]}
ribozyme	{"noun": ["ribozyme"]}
beatify	{"verb": ["tuyên thánh", "ban phước"]}
medievalist	{"noun": ["nhà nghiên cứu thời trung cổ"]}
plant-derived	{"adjective": ["có nguồn gốc từ thực vật"]}
gameplay	{"noun": ["lối chơi", "cách chơi"]}
well-entrenched	{"adjective": ["ăn sâu", "bám rễ", "cố thủ"]}
quits	{"adjective": ["hòa", "huề"], "verb": ["bỏ", "từ bỏ"]}
unlivable	{"adjective": ["không thể sống được"]}
lounging	{"noun": ["sự nằm dài", "sự thư giãn"], "verb": ["nằm dài", "thư giãn"]}
anti-gang	{"adjective": ["chống băng đảng"]}
combined-cycle	{"adjective": ["chu trình hỗn hợp"]}
deepened	{"verb": ["làm sâu thêm", "trở nên sâu hơn"]}
now-classic	{"adjective": ["kinh điển hiện nay"]}
episodically	{"adverb": ["từng đợt", "không thường xuyên"]}
cool-headed	{"adjective": ["bình tĩnh", "điềm tĩnh"]}
dink	{"noun": ["kẻ ngốc", "người nhỏ bé", "cú đánh nhẹ"], "verb": ["đánh nhẹ"]}
unclouded	{"adjective": ["trong sáng", "không bị che phủ"]}
full-frontal	{"adjective": ["trực diện", "toàn bộ"]}
feather-light	{"adjective": ["nhẹ như lông vũ"]}
blessedness	{"noun": ["hạnh phúc", "phước lành"]}
haole	{"noun": ["người da trắng (ở Hawaii)"]}
paterfamilias	{"noun": ["gia trưởng"]}
german-made	{"adjective": ["sản xuất tại Đức"]}
sullenness	{"noun": ["sự hờn dỗi", "sự ủ rũ"]}
earthmover	{"noun": ["máy xúc đất"]}
mountain-bike	{"noun": ["xe đạp leo núi"]}
post-production	{"noun": ["hậu kỳ (sản xuất phim)"]}
microwaved	{"verb": ["được làm nóng bằng lò vi sóng"]}
pea-sized	{"adjective": ["nhỏ bằng hạt đậu"]}
zircon	{"noun": ["zircon"]}
abracadabra	{"noun": ["bùa chú", "thần chú"]}
agrochemical	{"noun": ["hóa chất nông nghiệp"]}
oolong	{"noun": ["trà ô long"]}
two-earner	{"adjective": ["hai người làm ra tiền"]}
biogenic	{"adjective": ["có nguồn gốc sinh học"]}
burundian	{"adjective": ["thuộc Burundi"], "noun": ["người Burundi"]}
oppositely	{"adverb": ["ngược lại", "đối diện"]}
republican-leaning	{"adjective": ["nghiêng về đảng Cộng hòa"]}
data-mining	{"noun": ["khai thác dữ liệu"]}
mid-1989	{"adjective": ["giữa năm 1989"]}
stygian	{"adjective": ["tối tăm", "âm u"]}
clean-energy	{"noun": ["năng lượng sạch"]}
heli	{"noun": ["trực thăng"]}
tugging	{"noun": ["sự kéo", "sự giật"], "verb": ["kéo", "giật"]}
whippoorwill	{"noun": ["chim whippoorwill"]}
dreck	{"noun": ["rác rưởi", "đồ bỏ đi"]}
chilli	{"noun": ["ớt"]}
escapement	{"noun": ["bộ thoát (đồng hồ)", "sự thoát"]}
altazimuth	{"noun": ["hệ tọa độ chân trời"]}
vaporization	{"noun": ["sự bốc hơi", "sự hóa hơi"]}
chocolatier	{"noun": ["người làm sô cô la"]}
closed-minded	{"adjective": ["bảo thủ", "đầu óc hẹp hòi"]}
frippery	{"noun": ["đồ trang sức rẻ tiền", "sự phù phiếm"]}
unmasking	{"noun": ["sự vạch trần", "sự lột mặt nạ"], "verb": ["vạch trần", "lột mặt nạ"]}
sermonize	{"verb": ["thuyết giáo", "lên lớp"]}
reinvigoration	{"noun": ["sự phục hồi", "sự tái sinh"]}
brutalized	{"verb": ["bị đối xử tàn bạo", "bị làm cho tàn bạo"]}
penalized	{"verb": ["bị phạt", "bị xử phạt"]}
hooliganism	{"noun": ["hành vi côn đồ", "chủ nghĩa côn đồ"]}
tea-colored	{"adjective": ["màu trà"]}
unleashed	{"verb": ["thả ra", "giải phóng", "gây ra"]}
holey	{"adjective": ["có lỗ", "thủng lỗ chỗ"]}
unwatchable	{"adjective": ["không thể xem được", "quá tệ"]}
cable-television	{"noun": ["truyền hình cáp"]}
basketful	{"noun": ["đầy một giỏ"]}
one-horse	{"adjective": ["một ngựa", "nhỏ bé", "lạc hậu"]}
orientate	{"verb": ["định hướng", "làm quen"]}
usurious	{"adjective": ["cho vay nặng lãi"]}
stone-washed	{"adjective": ["giặt đá"]}
middle-schooler	{"noun": ["học sinh trung học cơ sở"]}
uncap	{"verb": ["mở nắp", "tháo nắp"]}
leashed	{"verb": ["bị xích", "bị trói"]}
mid-nineties	{"adjective": ["giữa những năm 90"]}
clean-lined	{"adjective": ["đường nét rõ ràng", "thiết kế đơn giản"]}
malevolently	{"adverb": ["một cách độc ác", "một cách thâm hiểm"]}
eroticized	{"verb": ["gợi dục", "làm cho trở nên gợi cảm"]}
solidification	{"noun": ["sự đông đặc", "sự làm rắn lại"]}
skanky	{"adjective": ["bẩn thỉu", "ghê tởm"]}
all-metal	{"adjective": ["hoàn toàn bằng kim loại"]}
bottom-dwelling	{"adjective": ["sống ở đáy (biển, sông)"]}
pappardelle	{"noun": ["mì pappardelle"]}
workability	{"noun": ["tính khả thi", "tính dễ gia công"]}
propitiate	{"verb": ["xoa dịu", "làm nguôi giận"]}
unconventionally	{"adverb": ["một cách khác thường", "một cách không theo quy tắc"]}
antivenin	{"noun": ["huyết thanh kháng nọc độc"]}
rinderpest	{"noun": ["bệnh dịch tả trâu bò"]}
yakuza	{"noun": ["yakuza (tổ chức tội phạm Nhật Bản)"]}
drawcord	{"noun": ["dây rút"]}
chambray	{"noun": ["vải chambray"]}
flagellation	{"noun": ["sự đánh đòn", "sự tự hành xác"]}
suborn	{"verb": ["mua chuộc", "xúi giục"]}
variable-speed	{"adjective": ["tốc độ thay đổi"]}
groundnut	{"noun": ["lạc", "đậu phộng"]}
neurosurgical	{"adjective": ["thuộc về phẫu thuật thần kinh"]}
franchised	{"adjective": ["được nhượng quyền"], "verb": ["nhượng quyền"]}
blackand-white	{"adjective": ["đen trắng", "rõ ràng", "dứt khoát"]}
abolitionism	{"noun": ["chủ nghĩa bãi nô"]}
low-cholesterol	{"adjective": ["ít cholesterol"]}
fat-soluble	{"adjective": ["tan trong chất béo"]}
fish-eating	{"adjective": ["ăn cá"]}
unconverted	{"adjective": ["chưa chuyển đổi", "chưa cải đạo"]}
listenership	{"noun": ["số lượng người nghe", "thính giả"]}
small-diameter	{"adjective": ["đường kính nhỏ"]}
helpline	{"noun": ["đường dây trợ giúp"]}
emic	{"adjective": ["thuộc về quan điểm nội tại"]}
variable-rate	{"adjective": ["lãi suất thay đổi"]}
lowing	{"noun": ["tiếng bò rống"], "verb": ["rống (bò)"]}
chanter	{"noun": ["người hát", "ống sáo"]}
birdcall	{"noun": ["tiếng chim hót"]}
drug-infested	{"adjective": ["bị ma túy xâm nhập"]}
pan-roasted	{"adjective": ["rang chảo"]}
half-size	{"adjective": ["nửa kích thước"]}
soviet-backed	{"adjective": ["được Liên Xô hậu thuẫn"]}
midwater	{"adjective": ["ở giữa tầng nước"]}
centralism	{"noun": ["chủ nghĩa trung ương tập quyền"]}
immutability	{"noun": ["tính bất biến", "tính không thay đổi"]}
high-tide	{"noun": ["thủy triều cao"]}
shouter	{"noun": ["người la hét", "người kêu la"]}
roadwork	{"noun": ["công việc làm đường"]}
bone-deep	{"adjective": ["ăn sâu vào xương", "thấm vào tận xương tủy"]}
maximalist	{"noun": ["người theo chủ nghĩa tối đa"], "adjective": ["tối đa"]}
complicitous	{"adjective": ["đồng lõa", "có liên quan"]}
niggardly	{"adjective": ["keo kiệt", "bủn xỉn"]}
arrow-straight	{"adjective": ["thẳng như mũi tên"]}
glimpsed	{"verb": ["nhìn thoáng qua", "liếc nhìn"]}
well-aimed	{"adjective": ["nhắm trúng đích", "có mục tiêu rõ ràng"]}
carcinogenicity	{"noun": ["tính gây ung thư"]}
fledging	{"noun": ["chim non", "người mới vào nghề"], "adjective": ["mới nở", "mới vào nghề"]}
knife-like	{"adjective": ["giống dao", "sắc như dao"]}
embracing	{"noun": ["sự ôm", "sự chấp nhận"], "verb": ["ôm", "chấp nhận"]}
past-due	{"adjective": ["quá hạn", "đã quá hạn"]}
scalded	{"verb": ["bị bỏng", "bị dội nước sôi"]}
trash-talking	{"noun": ["sự nói xấu", "sự chửi bới"], "verb": ["nói xấu", "chửi bới"]}
overambitious	{"adjective": ["tham vọng quá mức"]}
unsought	{"adjective": ["không mong muốn", "không được tìm kiếm"]}
sanctimony	{"noun": ["đạo đức giả", "sự giả tạo đạo đức"]}
standardised	{"verb": ["được tiêu chuẩn hóa"]}
sportfisherman	{"noun": ["người câu cá thể thao"]}
tubercle	{"noun": ["củ", "nốt sần"]}
strider	{"noun": ["người đi bộ", "người bước dài"]}
jackbooted	{"adjective": ["đi ủng"]}
decider	{"noun": ["người quyết định"]}
photosensitive	{"adjective": ["nhạy cảm với ánh sáng"]}
off-course	{"adjective": ["lệch hướng", "sai đường"], "adverb": ["lệch hướng", "sai đường"]}
cross-gender	{"adjective": ["chuyển giới"]}
monocoque	{"noun": ["vỏ liền khối"]}
polygonal	{"adjective": ["đa giác"]}
trapline	{"noun": ["đường bẫy"]}
daisylike	{"adjective": ["giống hoa cúc"]}
pruritus	{"noun": ["ngứa"]}
baying	{"noun": ["tiếng chó sủa", "tiếng hú"], "verb": ["sủa", "hú"]}
superrich	{"adjective": ["siêu giàu"], "noun": ["người siêu giàu"]}
million-year-old	{"adjective": ["hàng triệu năm tuổi"]}
futz	{"verb": ["lãng phí thời gian", "làm việc vặt"]}
quadruped	{"noun": ["động vật bốn chân"]}
satiation	{"noun": ["sự no", "sự thỏa mãn"]}
transvestism	{"noun": ["chứng ăn mặc khác giới"]}
chaque	{"noun": ["áo choàng"]}
intertext	{"noun": ["liên văn bản"]}
multi-family	{"adjective": ["đa gia đình"]}
reword	{"verb": ["diễn đạt lại", "nói lại"]}
professional-looking	{"adjective": ["trông chuyên nghiệp"]}
foulness	{"noun": ["sự hôi hám", "sự bẩn thỉu"]}
tap-tap	{"noun": ["tiếng gõ nhẹ"], "verb": ["gõ nhẹ"]}
recitative	{"noun": ["lối ngâm vịnh"]}
unstandardized	{"adjective": ["không được tiêu chuẩn hóa"]}
dredged	{"verb": ["nạo vét"]}
grandniece	{"noun": ["cháu gái (của ông bà)"]}
multi-day	{"adjective": ["nhiều ngày"]}
light-green	{"adjective": ["xanh nhạt"]}
uncongenial	{"adjective": ["không hợp", "khó chịu"]}
near-zero	{"adjective": ["gần bằng không"]}
sinless	{"adjective": ["vô tội", "không có tội"]}
lighter-skinned	{"adjective": ["da sáng hơn"]}
white-knuckle	{"adjective": ["gây căng thẳng", "đáng sợ"]}
near-shore	{"adjective": ["gần bờ"]}
firepit	{"noun": ["hố lửa"]}
tercet	{"noun": ["khổ ba dòng thơ"]}
overeating	{"noun": ["sự ăn quá nhiều"], "verb": ["ăn quá nhiều"]}
dehydrogenase	{"noun": ["dehydrogenase"]}
gringa	{"noun": ["gringa (từ lóng chỉ phụ nữ nước ngoài ở Mỹ Latinh)"]}
supermom	{"noun": ["siêu mẹ"]}
carpathian	{"adjective": ["thuộc Carpathian"]}
